Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00019804","-1,5987E-14","4,9935",0,0,0,"705,7","5876,5","-3,1532E-15","0,54944","5876,5","2,067E-11","7,9321",0,0,0,0,0,0,package://montagemtorre/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://montagemtorre/meshes/base_link.STL,,torre_poste-1,Sistema de coordenadas1 <torre_poste-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torre_barra_link,"0,075","-0,00057352","-1,7764E-15",0,0,0,"89,397","67,371","-2,3455E-17","-3,1682E-16","67,244","2,5763E-13","0,46408",0,0,0,0,0,0,package://montagemtorre/meshes/torre_barra_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://montagemtorre/meshes/torre_barra_link.STL,,barra-1,Origin_torre_barra_junta2,Axis_torre_barra_junta,torre_barra_junta,fixed,"0,0999999999999979",0,"8,925","1,5707963267949",0,0,base_link,0,0,0,,,,,,,,,,,,
suporte_barra_link,"-3,4663E-07","0,024783","5,4108E-08",0,0,0,"1,4025","0,0048578","-2,4478E-08","-1,1761E-08","0,0031424","3,566E-09","0,006599",0,0,0,0,0,0,package://montagemtorre/meshes/suporte_barra_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://montagemtorre/meshes/suporte_barra_link.STL,,suporte2-1,Origin_suporte_barra_junta2,Axis_suporte_barra_junta,suporte_barra_junta,fixed,"0,0750000000000011","0,149999999999996","1,12499999999999",0,"1,5707963267949",0,torre_barra_link,0,0,0,,,,,,,,,,,,
cabo_suporte_link,"-1,7764E-15",0,"9,96",0,0,0,"100,53","3351,1",0,"3,5091E-13","3351,1","4,1167E-13","0,080425",0,0,0,0,0,0,package://montagemtorre/meshes/cabo_suporte_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://montagemtorre/meshes/cabo_suporte_link.STL,,cabo-4,Origin_cabo_suporte_junta2,Axis_cabo_suporte_junta,cabo_suporte_junta,continuous,0,"0,0400000000000009",0,0,0,"1,90044401367296",suporte_barra_link,0,0,1,,,,,,,,,,,,
