Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000244985201935757","-1,20606969008284E-18","4,99117147605681",0,0,0,"705,348725696948","5868,71274167689","6,21949571884502E-19","0,714325568937374","5868,69714734345","3,1741599626337E-16","7,92735483064776",0,0,0,0,0,0,package://linhaf2/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://linhaf2/meshes/base_link.STL,,poste-2,postecoord <poste-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barra1,"0,165","9,13063387842954E-19","9,12410046214307",0,0,0,"89,0575222039227","67,1297791005704","-6,88730108039358E-15","1,01027549262431E-15","0,461208800937251","7,98376086580576E-17","67,0048922023881",0,0,0,0,0,0,package://linhaf2/meshes/barra1.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://linhaf2/meshes/barra1.STL,,barra-1,postecoord <poste-2>,Axis_barrajunta,barrajunta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup1,"0,164999962614628","-1,12499998226861","9,28113909925346",0,0,0,"1,26701099602515","0,0050951471072981","-4,14323732930178E-09","4,57701255789595E-10","0,00459360598156224","3,63992842483297E-09","0,00239412896212943",0,0,0,0,0,0,package://linhaf2/meshes/sup1.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://linhaf2/meshes/sup1.STL,,sup-1,postecoord <poste-2>,Axis_sup1junta,sup1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo,"25,6457935383257","-1,12404905296926","8,62691403166074",0,0,0,"256,612164067276","63,2895146040177","-6,17645556792484","-81,9746136579646","55589,8547596422","-0,16490286642396","55526,851109607",0,0,0,0,0,0,package://linhaf2/meshes/cabo.STL,"0,898039215686275","0,92156862745098","0,929411764705882",1,0,0,0,0,0,0,package://linhaf2/meshes/cabo.STL,,cabo-1,postecoord <poste-2>,Axis_cabo1junta,cabo1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
poste2,"49,9166326954359","-0,560734223156803","4,99122493483032",0,0,0,"705,348725696948","5868,69955315177","0,00558118989594223","0,280572367968631","5868,70989519789","1,73614969389549","7,92779550132573",0,0,0,0,0,0,package://linhaf2/meshes/poste2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://linhaf2/meshes/poste2.STL,,poste-3,postecoord <poste-2>,Axis_poste2junta,poste2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
barra2,"49,9815372826457","-0,409530485171857","9,12418183435697",0,0,0,"89,057522203923","10,7464705637993","24,0814673077107","0,00443447474973387","56,8445176822395","-0,00187097919249398","67,0048918578574",0,0,0,0,0,0,package://linhaf2/meshes/barra2.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://linhaf2/meshes/barra2.STL,,barra-2,postecoord <poste-2>,Axis_barra2junta,barra2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup2,"51,0161247583284","-0,851434621286705","9,28113909981379",0,0,0,"1,2670109960749","0,00467098399217282","0,000181165385382283","3,01925385078026E-08","0,00501776900730217","4,84980420495749E-07","0,002394129051307",0,0,0,0,0,0,package://linhaf2/meshes/sup2.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://linhaf2/meshes/sup2.STL,,sup-2,postecoord <poste-2>,Axis_sup2junta,sup2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo2,"61,0236541976777","22,5823129361748","8,63164681594956",0,0,0,"256,624802321065","47027,8742978858","-20052,5209596476","-35,7245663613626","8625,16390089721","-84,0580605592216","55526,6975576384",0,0,0,0,0,0,package://linhaf2/meshes/cabo2.STL,"0,898039215686275","0,92156862745098","0,929411764705882",1,0,0,0,0,0,0,package://linhaf2/meshes/cabo2.STL,,cabo-2,postecoord <poste-2>,Axis_cabo2junta,cabo2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
