Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"6,84107831109981","-0,299850714378742","5,96104018393503",0,0,0,"961,960889764223","5932,00225628091","-6,17645556792484","-81,2602880890273","61458,5519069856","-0,16490286642396","55534,7784644376",0,0,0,0,0,0,package://linhaf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://linhaf/meshes/base_link.STL,,poste-2;cabo-1,postecoord <poste-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barra1,"0,165","4,65662327799907E-17","9,12410046214307",0,0,0,"89,0575222039227","67,1297791005704","-6,7138287327959E-15","1,01035853963239E-15","0,461208800937251","5,2712172610531E-16","67,0048922023881",0,0,0,0,0,0,package://linhaf/meshes/barra1.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://linhaf/meshes/barra1.STL,,barra-1,postecoord <poste-2>,Axis_barrajunta,barrajunta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup1,"0,164999962614628","-1,12499998226861","9,28113909925346",0,0,0,"1,26701099602515","0,0050951471072981","-4,14323732930178E-09","4,57701255789595E-10","0,00459360598156224","3,63992842483297E-09","0,00239412896212943",0,0,0,0,0,0,package://linhaf/meshes/sup1.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://linhaf/meshes/sup1.STL,,sup-1,postecoord <poste-2>,Axis_sup1junta,sup1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo,"25,6457935383257","-1,12404905296926","8,62691403166074",0,0,0,"256,612164067276","63,2895146040177","-6,17645556792484","-81,9746136579646","55589,8547596422","-0,16490286642396","55526,851109607",0,0,0,0,0,0,package://linhaf/meshes/cabo.STL,"0,898039215686275","0,92156862745098","0,929411764705882",1,0,0,0,0,0,0,package://linhaf/meshes/cabo.STL,,cabo-1,postecoord <poste-2>,Axis_cabo1junta,cabo1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
